framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,0.956,0.949,0.951,0.906,0.953,0.956,0.956,0.906,0.958,0.972,0.951,-1.000,-1.000,-1.000,00:00:08,00:00:00
autokeras,0.974,0.967,0.970,0.944,0.972,0.974,0.974,0.944,0.972,0.986,0.970,-1.000,-1.000,-1.000,00:00:27,00:00:00
autopytorch,0.982,0.973,0.977,0.962,0.981,0.982,0.982,0.963,0.973,1.000,0.977,-1.000,-1.000,-1.000,00:15:46,00:00:29
autosklearn,0.982,0.973,0.977,0.962,0.981,0.982,0.982,0.963,0.973,1.000,0.977,-1.000,-1.000,-1.000,00:22:40,00:00:00
evalml,0.991,0.986,0.988,0.981,0.991,0.991,0.991,0.981,0.986,1.000,0.988,-1.000,-1.000,-1.000,00:10:02,00:00:00
flaml,0.965,0.954,0.958,0.925,0.962,0.965,0.965,0.925,0.959,0.986,0.958,-1.000,-1.000,-1.000,00:10:00,00:00:00
gama,0.974,0.967,0.970,0.944,0.972,0.974,0.974,0.944,0.972,0.986,0.970,-1.000,-1.000,-1.000,00:08:59,00:00:00
h2o,0.912,0.930,0.920,0.818,0.909,0.912,0.913,0.823,0.969,0.887,0.920,-1.000,-1.000,-1.000,00:10:00,00:00:00
lightautoml,0.377,0.623,0.500,0.000,0.274,0.377,0.207,0.000,0.000,0.000,0.500,-1.000,-1.000,-1.000,00:00:13,00:00:00
tpot,0.974,0.967,0.970,0.944,0.972,0.974,0.974,0.944,0.972,0.986,0.970,-1.000,-1.000,-1.000,00:10:00,00:00:00
