framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,0.546,-1.000,0.506,0.282,0.506,0.546,0.536,0.284,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:11,00:00:00
autokeras,0.444,-1.000,0.425,0.142,0.422,0.444,0.443,0.143,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:53,00:00:00
autopytorch,0.580,-1.000,0.545,0.342,0.543,0.580,0.571,0.352,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:11:20,00:01:42
autosklearn,0.576,-1.000,0.551,0.343,0.552,0.576,0.575,0.350,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:11:44,00:00:01
evalml,0.593,-1.000,0.573,0.371,0.574,0.593,0.593,0.385,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:01,00:00:00
flaml,0.590,-1.000,0.572,0.371,0.571,0.590,0.591,0.389,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:09:59,00:00:00
gama,0.614,-1.000,0.591,0.400,0.594,0.614,0.613,0.407,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:08:59,00:00:00
h2o,0.437,-1.000,0.331,-0.005,0.203,0.437,0.268,-0.041,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:02,00:00:00
lightautoml,0.427,-1.000,0.412,0.153,0.380,0.427,0.418,0.166,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:45,00:00:00
tpot,0.569,-1.000,0.541,0.327,0.542,0.569,0.564,0.337,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:08,00:00:00
