framework,accuracy_score,average_precision_score,balanced_accuracy_score,cohen_kappa_score,f1_score_macro,f1_score_micro,f1_score_weighted,matthews_corrcoef,precision_score,recall_score,roc_auc_score,coverage_error,label_ranking_average_precision_score,label_ranking_loss,training_time,test_time
autogluon,0.656,-1.000,0.321,0.447,0.318,0.656,0.637,0.449,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:11,00:00:00
autokeras,0.619,-1.000,0.384,0.405,0.393,0.619,0.612,0.406,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:00:54,00:00:00
autopytorch,0.656,-1.000,0.308,0.437,0.309,0.656,0.631,0.442,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:37,00:02:25
autosklearn,0.688,-1.000,0.342,0.495,0.342,0.688,0.668,0.498,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:13:16,00:00:03
evalml,0.634,-1.000,0.344,0.421,0.351,0.634,0.627,0.423,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:00,00:00:00
flaml,0.644,-1.000,0.316,0.431,0.315,0.644,0.628,0.433,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:09:59,00:00:00
gama,0.672,-1.000,0.333,0.473,0.331,0.672,0.654,0.475,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:09:00,00:00:00
h2o,0.522,-1.000,0.213,0.192,0.188,0.522,0.460,0.210,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:05,00:00:00
lightautoml,0.650,-1.000,0.305,0.427,0.307,0.650,0.627,0.432,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:01:45,00:00:00
tpot,0.681,-1.000,0.331,0.485,0.333,0.681,0.663,0.488,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,00:10:01,00:00:00
