scenario,dataset,normal_pairs,normal,homoscedastic_pairs,homoscedastic,parametric,method,p-value,significant
all,31,105/120,False,120/120,True,False,Kruskal-Wallis + Dunn,8.3e-24,True
all,37,66/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.4e-18,True
all,44,66/120,False,0/120,False,False,Kruskal-Wallis + Dunn,4.5e-33,True
all,1462,15/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.1e-39,True
all,1479,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.6e-53,True
all,1510,21/120,False,120/120,True,False,Kruskal-Wallis + Dunn,1.3e-17,True
all,40945,36/66,False,0/66,False,False,Kruskal-Wallis + Dunn,6.8e-27,True
all,23,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.4e-25,True
all,36,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,2.0e-11,True
all,54,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.2e-28,True
all,181,91/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.7e-34,True
all,1466,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.3e-45,True
all,40691,105/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.5e-31,True
all,40975,45/120,False,0/120,False,False,Kruskal-Wallis + Dunn,4.1e-34,True
all,285,3/6,False,0/6,False,False,Kruskal-Wallis + Dunn,2.0e-09,True
all,41464,3/3,True,0/3,False,False,Kruskal-Wallis + Dunn,4.1e-12,True
all,41465,6/6,True,6/6,True,True,ANOVA + Tukey,4.7e-60,True
all,41468,6/6,True,0/6,False,False,Kruskal-Wallis + Dunn,9.2e-15,True
all,41470,6/6,True,0/6,False,False,Kruskal-Wallis + Dunn,1.7e-14,True
all,41471,3/6,False,6/6,True,False,Kruskal-Wallis + Dunn,3.5e-15,True
all,41473,6/6,True,6/6,True,True,ANOVA + Tukey,3.1e-80,True
all,285ps,15/45,False,0/45,False,False,Kruskal-Wallis + Dunn,4.4e-23,True
all,41464ps,36/66,False,0/66,False,False,Kruskal-Wallis + Dunn,6.7e-25,True
all,41465ps,66/78,False,0/78,False,False,Kruskal-Wallis + Dunn,5.6e-22,True
all,41468ps,45/105,False,0/105,False,False,Kruskal-Wallis + Dunn,3.2e-26,True
all,41470ps,36/78,False,0/78,False,False,Kruskal-Wallis + Dunn,6.5e-28,True
all,41471ps,21/78,False,0/78,False,False,Kruskal-Wallis + Dunn,4.6e-26,True
all,41473ps,21/66,False,0/66,False,False,Kruskal-Wallis + Dunn,1.0e-27,True
