,Framework,Rank_F1,Rank_Time
0,autosklearn,2.357142857142857,8.25
1,4intelligence,4.595238095238095,9.142857142857142
2,pycaret,4.666666666666667,5.523809523809524
3,naive,5.5476190476190474,6.523809523809524
4,gama,6.285714285714286,7.928571428571429
5,autogluon,6.333333333333333,3.111111111111111
6,flaml,6.428571428571429,9.238095238095237
7,fedot,6.473684210526316,9.894736842105264
8,tpot,6.815789473684211,12.526315789473685
9,mljar,8.428571428571429,3.857142857142857
10,autokeras,8.517857142857142,3.142857142857143
11,autopytorch,9.380952380952381,13.428571428571429
12,evalml,9.8,12.266666666666667
13,h2o,11.571428571428571,12.095238095238095
14,lightwood,12.666666666666666,1.3333333333333333
15,lightautoml,13.176470588235293,6.352941176470588
