dataset,normal,homoscedastic,parametric,method,p-value,significant
31,False,True,False,Kruskal-Wallis + Dunn,8.320003354924094e-24,True
37,False,False,False,Kruskal-Wallis + Dunn,1.433669645718016e-18,True
44,False,False,False,Kruskal-Wallis + Dunn,4.485204808727931e-33,True
1462,False,False,False,Kruskal-Wallis + Dunn,3.082811828401838e-39,True
1479,False,False,False,Kruskal-Wallis + Dunn,1.5789864965935978e-53,True
1510,False,True,False,Kruskal-Wallis + Dunn,1.2844716728560679e-17,True
40945,False,False,False,Kruskal-Wallis + Dunn,6.812383035088255e-27,True
23,False,False,False,Kruskal-Wallis + Dunn,1.3935700549809054e-25,True
36,False,False,False,Kruskal-Wallis + Dunn,2.034901336305258e-11,True
54,False,False,False,Kruskal-Wallis + Dunn,3.2272653010026014e-28,True
181,False,False,False,Kruskal-Wallis + Dunn,1.7466678588246969e-34,True
1466,False,False,False,Kruskal-Wallis + Dunn,1.2556588864480484e-45,True
40691,False,False,False,Kruskal-Wallis + Dunn,1.5482479760997537e-31,True
40975,False,False,False,Kruskal-Wallis + Dunn,4.109825412406422e-34,True
285,False,False,False,Kruskal-Wallis + Dunn,1.9924259951501485e-09,True
41464,True,False,False,Kruskal-Wallis + Dunn,4.061339800128413e-12,True
41465,True,True,True,ANOVA + Tukey,4.696135556148512e-60,True
41468,True,False,False,Kruskal-Wallis + Dunn,9.247353982163571e-15,True
41470,True,False,False,Kruskal-Wallis + Dunn,1.7406497889548168e-14,True
41471,False,True,False,Kruskal-Wallis + Dunn,3.523245992504394e-15,True
41473,True,True,True,ANOVA + Tukey,3.1277754173899806e-80,True
285ps,False,False,False,Kruskal-Wallis + Dunn,4.418118025381083e-23,True
41464ps,False,False,False,Kruskal-Wallis + Dunn,6.695721979149422e-25,True
41465ps,False,False,False,Kruskal-Wallis + Dunn,5.560460783245387e-22,True
41468ps,False,False,False,Kruskal-Wallis + Dunn,3.171254930301557e-26,True
41470ps,False,False,False,Kruskal-Wallis + Dunn,6.456053666441524e-28,True
41471ps,False,False,False,Kruskal-Wallis + Dunn,4.633641468649415e-26,True
41473ps,False,False,False,Kruskal-Wallis + Dunn,1.0081011443244225e-27,True
