,Framework,Rank_F1,Rank_Time
0,autosklearn,3.7142857142857144,11.285714285714286
1,pycaret,4.857142857142857,2.7142857142857144
2,tpot,5.083333333333333,13.666666666666666
3,gama,5.5,8.5
4,4intelligence,6.071428571428571,7.142857142857143
5,naive,6.071428571428571,7.571428571428571
6,autogluon,7.857142857142857,2.5714285714285716
7,autopytorch,8.142857142857142,14.857142857142858
8,flaml,8.142857142857142,10.142857142857142
9,fedot,8.833333333333334,12.166666666666666
10,mljar,9.0,3.857142857142857
11,autokeras,9.785714285714286,4.285714285714286
12,evalml,10.0,13.0
13,lightwood,11.428571428571429,2.0
14,h2o,12.285714285714286,12.857142857142858
15,lightautoml,16.0,7.0
