Dataset,Framework,Trial,F1 Score
31,4intelligence,1.0,0.5982003365299604
31,4intelligence,2.0,0.6028643206446391
31,4intelligence,3.0,0.6005035880592918
31,4intelligence,4.0,0.6005035880592918
31,4intelligence,5.0,0.5999297444599924
31,4intelligence,6.0,0.6021388998579837
31,4intelligence,7.0,0.6047881034025158
31,4intelligence,8.0,0.6001602098392159
31,4intelligence,9.0,0.5949466097489118
31,4intelligence,10.0,0.6005035880592918
31,4intelligence,11.0,0.6028643206446391
31,4intelligence,12.0,0.6005035880592918
31,4intelligence,13.0,0.5968280563177435
31,4intelligence,14.0,0.6061438319024156
31,4intelligence,15.0,0.6028643206446391
31,4intelligence,16.0,0.6028643206446391
31,4intelligence,17.0,0.5929122816668018
31,4intelligence,18.0,0.6044136829401797
31,4intelligence,19.0,0.6028643206446391
31,4intelligence,20.0,0.6044611064593481
31,autogluon,1.0,0.6948958837772397
31,autogluon,2.0,0.6773079700505492
31,autogluon,3.0,0.7150832809033412
31,autogluon,4.0,0.7828138528138529
31,autogluon,5.0,0.7205548724739117
31,autogluon,6.0,0.7219689393688532
31,autogluon,7.0,0.7865625
31,autogluon,8.0,0.7
31,autogluon,9.0,0.7360498960498961
31,autogluon,10.0,0.7445595119446711
31,autogluon,11.0,0.7533500192529843
31,autogluon,12.0,0.7513357516270137
31,autogluon,13.0,0.7556512337450755
31,autogluon,14.0,0.6890065460146323
31,autogluon,15.0,0.7531333333333333
31,autogluon,16.0,0.7689930145768875
31,autogluon,17.0,0.748882446460301
31,autogluon,18.0,0.7173541237618908
31,autogluon,19.0,0.7401253918495297
31,autogluon,20.0,0.7286019549196756
31,autokeras,1.0,0.6973352033660589
31,autokeras,2.0,0.669166144200627
31,autokeras,3.0,0.6354706094482511
31,autokeras,4.0,0.72
31,autokeras,5.0,0.6725373134328357
31,autokeras,6.0,0.7157144151490441
31,autokeras,7.0,0.6788824464603012
31,autokeras,8.0,0.6918087265347539
31,autokeras,9.0,0.6929234843469214
31,autokeras,10.0,0.670209973753281
31,autokeras,11.0,0.6901749288251006
31,autokeras,12.0,0.7493867334167709
31,autokeras,13.0,0.7053732193732194
31,autokeras,14.0,0.7307187955318115
31,autokeras,15.0,0.6700105277010132
31,autokeras,16.0,0.690379403794038
31,autokeras,17.0,0.709648176127779
31,autokeras,18.0,0.5540211481655893
