Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
23,multiclass,4intelligence,1,0.5514213663338049,110.80092869201508
23,multiclass,4intelligence,2,0.5481067134964188,116.57131282398223
23,multiclass,4intelligence,3,0.5510834203073196,108.17128913397755
23,multiclass,4intelligence,4,0.5514213663338049,110.32326066598398
23,multiclass,4intelligence,5,0.5517266618526045,107.0576052830329
23,multiclass,4intelligence,6,0.5517266618526045,107.34497737997299
23,multiclass,4intelligence,7,0.5507221288745997,104.59772730798613
23,multiclass,4intelligence,8,0.5514220350158043,109.05549419799536
23,multiclass,4intelligence,9,0.5514213663338049,111.85814907696295
23,multiclass,4intelligence,10,0.5514213663338049,126.64166769402618
23,multiclass,4intelligence,11,0.5514213663338049,112.17935462798596
23,multiclass,4intelligence,12,0.5514213663338049,142.72074157899442
23,multiclass,4intelligence,13,0.5510834203073196,100.26082445297288
23,multiclass,4intelligence,14,0.5517266618526045,107.16976896801134
23,multiclass,4intelligence,15,0.5510834203073196,96.07556871400811
23,multiclass,4intelligence,16,0.5517266618526045,313.449693089
23,multiclass,4intelligence,17,0.5481067134964188,312.18289052801447
23,multiclass,4intelligence,18,0.5462044054282824,309.44055162499717
23,multiclass,4intelligence,19,0.5510834203073196,310.7935564189829
23,multiclass,4intelligence,20,0.5514220350158043,297.8727873380012
23,multiclass,autogluon,1,0.5458656833814659,18.433423431997653
23,multiclass,autogluon,2,0.5651298850700645,16.919820389011875
23,multiclass,autogluon,3,0.5132859135791391,15.74858477700036
23,multiclass,autogluon,4,0.5413996833221293,15.433465843030717
23,multiclass,autogluon,5,0.5153325106266283,19.2898646069807
23,multiclass,autogluon,6,0.5703753561589073,15.855441256018821
23,multiclass,autogluon,7,0.5380820518067425,17.68859031901229
23,multiclass,autogluon,8,0.5504723707734929,14.884148232988082
23,multiclass,autogluon,9,0.5446264348514511,18.960906177992
23,multiclass,autogluon,10,0.5678392278143483,22.141181515995413
23,multiclass,autogluon,11,0.510566784612366,16.381304498005193
23,multiclass,autogluon,12,0.6148094795364999,16.441639275988564
23,multiclass,autogluon,13,0.5595045257650519,16.511510624026414
23,multiclass,autogluon,14,0.5477672692142185,15.394295213976875
23,multiclass,autogluon,15,0.5488830586788191,16.279771091009025
23,multiclass,autogluon,16,0.5599426250126324,16.841973046015482
23,multiclass,autogluon,17,0.5652926010681721,18.424988850019872
23,multiclass,autogluon,18,0.5627386582037388,20.833188946999144
23,multiclass,autogluon,19,0.5324181344263905,15.640997049049474
23,multiclass,autogluon,20,0.5779287694508051,16.39483016799204
23,multiclass,autokeras,1,0.4995053815269166,34.87676791101694
23,multiclass,autokeras,2,0.4679852316812186,28.180715503985994
23,multiclass,autokeras,3,0.40211739541361513,35.78915360599058
23,multiclass,autokeras,4,0.47648159408663326,30.270388652978
23,multiclass,autokeras,5,0.5053906572964035,32.14021820301423
23,multiclass,autokeras,6,0.47784567857624544,35.55939844896784
23,multiclass,autokeras,7,0.4386484190609824,30.052895796019584
23,multiclass,autokeras,8,0.44825086747631115,29.042839941044804
23,multiclass,autokeras,9,0.4420158911983842,45.960751400038134
23,multiclass,autokeras,10,0.41911923503266196,50.53985268395627
23,multiclass,autokeras,11,0.4250506785291965,28.652112778974697
23,multiclass,autokeras,12,0.5348889537593067,52.07269046397414
23,multiclass,autokeras,13,0.40169009015669727,27.176146571000572
23,multiclass,autokeras,14,0.45416461504330585,28.248522881011013
