,Framework,Rank_F1,Rank_Time
0,autosklearn,1.8571428571428572,11.428571428571429
1,pycaret,5.142857142857143,2.5714285714285716
2,naive,5.428571428571429,7.0
3,flaml,5.714285714285714,10.285714285714286
4,4intelligence,6.142857142857143,10.571428571428571
5,gama,6.428571428571429,7.857142857142857
6,mljar,7.0,3.857142857142857
7,tpot,7.857142857142857,12.142857142857142
8,fedot,8.0,13.0
9,autogluon,8.714285714285714,3.4285714285714284
10,autopytorch,9.714285714285714,15.571428571428571
11,evalml,10.428571428571429,11.857142857142858
12,autokeras,12.428571428571429,4.714285714285714
13,h2o,12.857142857142858,14.142857142857142
14,lightautoml,14.142857142857142,6.571428571428571
15,lightwood,14.142857142857142,1.0
