Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
285,multilabel_native,autogluon,1,0.18155808671530094,128.8987230849998
285,multilabel_native,autogluon,2,0.1873159789167093,102.72963520099984
285,multilabel_native,autogluon,3,0.340618771784854,105.24168053500034
285,multilabel_native,autogluon,4,0.19306114035875266,118.75574735099963
285,multilabel_native,autogluon,5,0.2126625980996069,132.87917365200065
285,multilabel_native,autogluon,6,0.27790881690632013,107.49970948800001
285,multilabel_native,autogluon,7,0.22469081246059658,107.91571429499982
285,multilabel_native,autogluon,8,0.3303966431221689,122.16607305600064
285,multilabel_native,autogluon,9,0.2504128105967791,114.04189177899934
285,multilabel_native,autogluon,10,0.33537941278094063,110.04309791299966
285,multilabel_native,autogluon,11,0.2792274763800173,115.8685360189993
285,multilabel_native,autogluon,12,0.1951162897116523,111.00304422000045
285,multilabel_native,autogluon,13,0.2766414997001366,112.6270024989999
285,multilabel_native,autogluon,14,0.2960720293558766,131.16202517200054
285,multilabel_native,autogluon,15,0.32022889533343135,106.36566065699935
285,multilabel_native,autogluon,16,0.3395175628451909,109.6376155779999
285,multilabel_native,autogluon,17,0.29835054717867215,110.97700912100026
285,multilabel_native,autogluon,18,0.2834448249815574,119.46295981500043
285,multilabel_native,autogluon,19,0.30263453800293166,112.92004686000018
285,multilabel_native,autogluon,20,0.25213525072582393,111.74557846399966
285,multilabel_native,autokeras,1,0.2705455957190478,15.167320560663939
285,multilabel_native,autokeras,2,0.28395001225189903,15.612254313193262
285,multilabel_native,autokeras,3,0.243704350995682,16.086128254421055
285,multilabel_native,autokeras,4,0.2550031490248882,15.209708449430764
285,multilabel_native,autokeras,5,0.28664696749462415,13.292732020840049
285,multilabel_native,autokeras,6,0.2959450052882761,18.91421860549599
285,multilabel_native,autokeras,7,0.3092267687826024,15.416482746601105
285,multilabel_native,autokeras,8,0.22418035014558702,14.308701166883111
285,multilabel_native,autokeras,9,0.28390741843690026,23.9401592919603
285,multilabel_native,autokeras,10,0.30140994256661335,22.065127809531987
285,multilabel_native,autokeras,11,0.2879995045212437,13.287985282950103
285,multilabel_native,autokeras,12,0.2981738270928116,22.893069912679493
285,multilabel_native,autokeras,13,0.27093927721324024,13.352677355520427
285,multilabel_native,autokeras,14,0.24360622977568777,13.625733802095056
285,multilabel_native,autokeras,15,0.225647367513273,20.49876036029309
285,multilabel_native,autokeras,16,0.29499947893329725,19.616792873479426
285,multilabel_native,autokeras,17,0.3051036523862611,14.846530470065773
285,multilabel_native,autokeras,18,0.2887902509054446,22.802099665626884
285,multilabel_native,autokeras,19,0.2979152617352781,15.046661379747093
285,multilabel_native,autokeras,20,0.2870329053471999,14.701201234944165
285,multilabel_native,autosklearn,1,0.6715471391039737,298.36500493530184
285,multilabel_native,autosklearn,2,0.6952940844552027,298.0777819734067
285,multilabel_native,autosklearn,3,0.7406113398111062,297.58127848803997
285,multilabel_native,autosklearn,4,0.7572984317383689,297.20329238753766
285,multilabel_native,autosklearn,5,0.6989424837982531,299.3965035881847
285,multilabel_native,autosklearn,6,0.7219069188973966,296.74487905576825
285,multilabel_native,autosklearn,7,0.7262734867051414,310.93730979412794
285,multilabel_native,autosklearn,8,0.7074907270879432,317.42836986575276
