Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
285ps,multilabel_powerset,4intelligence,1,0.8183177008177008,73.95625560966437
285ps,multilabel_powerset,4intelligence,2,0.8183177008177008,59.585601571860025
285ps,multilabel_powerset,4intelligence,3,0.8041997144269872,66.79881535514141
285ps,multilabel_powerset,4intelligence,4,0.7832745537290992,64.44634838802449
285ps,multilabel_powerset,4intelligence,5,0.8183177008177008,60.78809495217865
285ps,multilabel_powerset,4intelligence,6,0.8057998062543517,64.62765119170945
285ps,multilabel_powerset,4intelligence,7,0.8228108255380983,69.23595156001102
285ps,multilabel_powerset,4intelligence,8,0.795585618085618,60.52491243775876
285ps,multilabel_powerset,4intelligence,9,0.8228108255380983,65.37008734121628
285ps,multilabel_powerset,4intelligence,10,0.8228108255380983,73.38464437499351
285ps,multilabel_powerset,4intelligence,11,0.8183177008177008,60.597729322020314
285ps,multilabel_powerset,4intelligence,12,0.8228108255380983,64.20218175581249
285ps,multilabel_powerset,4intelligence,13,0.7980633507906235,63.62791527410445
285ps,multilabel_powerset,4intelligence,14,0.8228108255380983,58.477580322054564
285ps,multilabel_powerset,4intelligence,15,0.8228108255380983,55.47777800692711
285ps,multilabel_powerset,4intelligence,16,0.8183177008177008,51.62793029630848
285ps,multilabel_powerset,4intelligence,17,0.8179817657090386,76.21911869596806
285ps,multilabel_powerset,4intelligence,18,0.8228108255380983,65.1912396568514
285ps,multilabel_powerset,4intelligence,19,0.8228108255380983,52.94459997690865
285ps,multilabel_powerset,4intelligence,20,0.8228108255380983,72.75955825595884
285ps,multilabel_powerset,autokeras,1,0.06993006993006992,20.116133699193597
285ps,multilabel_powerset,autokeras,2,0.07692307692307693,18.578030611388385
285ps,multilabel_powerset,autokeras,3,0.040170940170940174,28.56463391147554
285ps,multilabel_powerset,autokeras,4,0.1769230769230769,19.630385553464293
285ps,multilabel_powerset,autokeras,5,0.12179487179487179,26.97818968165666
285ps,multilabel_powerset,autokeras,6,0.1606837606837607,22.741477578878403
285ps,multilabel_powerset,autokeras,7,0.18754578754578757,22.212321330793202
285ps,multilabel_powerset,autokeras,8,0.11477411477411478,25.861537261866033
285ps,multilabel_powerset,autokeras,9,0.13925049309664694,30.790183453820646
285ps,multilabel_powerset,autokeras,10,0.10313390313390314,35.48066735547036
285ps,multilabel_powerset,autokeras,11,0.1658119658119658,21.957839685492218
285ps,multilabel_powerset,autokeras,12,0.06574621959237344,31.464003339409828
285ps,multilabel_powerset,autokeras,13,0.07993966817496229,22.279494722373784
285ps,multilabel_powerset,autopytorch,1,0.0036630036630036634,313.46631441731006
285ps,multilabel_powerset,autopytorch,2,0.04662004662004661,311.6485297176987
285ps,multilabel_powerset,autopytorch,3,0.0,308.981996874325
285ps,multilabel_powerset,autopytorch,4,0.003205128205128205,313.25916514452547
285ps,multilabel_powerset,autopytorch,5,0.030769230769230774,317.0421022567898
285ps,multilabel_powerset,autopytorch,6,0.0,312.1416613534093
285ps,multilabel_powerset,autopytorch,7,0.01282051282051282,317.138571604155
285ps,multilabel_powerset,autopytorch,8,0.015384615384615387,323.7300206804648
285ps,multilabel_powerset,autopytorch,9,0.030769230769230774,314.89428651332855
285ps,multilabel_powerset,autopytorch,10,0.0,355.10172015987337
285ps,multilabel_powerset,autopytorch,11,0.0,311.76236465293914
285ps,multilabel_powerset,autopytorch,12,0.020512820512820513,312.02203875686973
285ps,multilabel_powerset,autopytorch,13,0.0,317.0613831821829
285ps,multilabel_powerset,autopytorch,14,0.019230769230769232,318.34891045372933
285ps,multilabel_powerset,autopytorch,15,0.0,362.0307516725734
285ps,multilabel_powerset,autopytorch,16,0.0,328.80763851106167
285ps,multilabel_powerset,autopytorch,17,0.034188034188034185,335.55413420684636
285ps,multilabel_powerset,autopytorch,18,0.0,358.9381867721677
285ps,multilabel_powerset,autopytorch,19,0.0,315.08914708532393
285ps,multilabel_powerset,autopytorch,20,0.0,313.07692487351596
285ps,multilabel_powerset,autosklearn,1,0.07678741012074344,302.42261356581
285ps,multilabel_powerset,autosklearn,2,0.20384615384615384,300.62583526875824
285ps,multilabel_powerset,autosklearn,3,0.054254923820141215,307.2313082125038
285ps,multilabel_powerset,autosklearn,4,0.18033078033078032,304.8113320870325
285ps,multilabel_powerset,autosklearn,5,0.17094017094017094,303.75393995270133
285ps,multilabel_powerset,autosklearn,6,0.2168498168498168,299.52822152432054
285ps,multilabel_powerset,autosklearn,7,0.23026973026973024,301.00875932816416
285ps,multilabel_powerset,autosklearn,8,0.24230769230769228,301.22929206863046
285ps,multilabel_powerset,autosklearn,9,0.1923076923076923,304.59565798472613
285ps,multilabel_powerset,autosklearn,10,0.26495726495726496,304.82601505797356
285ps,multilabel_powerset,autosklearn,11,0.20854700854700853,302.48717851005495
285ps,multilabel_powerset,autosklearn,12,0.09605209605209604,301.81943561602384
285ps,multilabel_powerset,autosklearn,13,0.19984459984459982,305.340469352901
285ps,multilabel_powerset,autosklearn,14,0.2530657748049053,303.5629915399477
285ps,multilabel_powerset,autosklearn,15,0.14511803985488195,307.886568040587
285ps,multilabel_powerset,flaml,1,0.048951048951048945,309.4857980230008
285ps,multilabel_powerset,flaml,2,0.13223443223443224,302.0777046930016
285ps,multilabel_powerset,flaml,3,0.039627039627039624,302.5585941879981
285ps,multilabel_powerset,flaml,4,0.1225509533201841,301.66161328199814
285ps,multilabel_powerset,flaml,5,0.14570614570614568,306.8845797629983
285ps,multilabel_powerset,flaml,6,0.19829059829059828,301.93235484400066
285ps,multilabel_powerset,flaml,7,0.022792022792022793,304.67391587999737
285ps,multilabel_powerset,flaml,8,0.10012210012210011,301.94128200200066
285ps,multilabel_powerset,flaml,9,0.1993589743589744,302.0979789060002
285ps,multilabel_powerset,flaml,10,0.09188034188034187,301.81966952900257
285ps,multilabel_powerset,flaml,11,0.2717948717948718,302.2537769499977
285ps,multilabel_powerset,flaml,12,0.10139860139860139,301.78835066399915
285ps,multilabel_powerset,flaml,13,0.19047619047619047,301.89912811999966
285ps,multilabel_powerset,flaml,14,0.2056166056166056,302.03510126500623
285ps,multilabel_powerset,flaml,15,0.15384615384615385,308.7793516469974
285ps,multilabel_powerset,flaml,16,0.15567765567765565,304.86838298500516
285ps,multilabel_powerset,flaml,17,0.1547008547008547,300.2957563519958
285ps,multilabel_powerset,flaml,18,0.18315018315018314,300.41652319099376
285ps,multilabel_powerset,flaml,19,0.11702827087442472,301.751933517
285ps,multilabel_powerset,flaml,20,0.09682539682539683,300.5707436260054
285ps,multilabel_powerset,h2o,1,0.1168091168091168,314.67238292843103
285ps,multilabel_powerset,h2o,2,0.14102564102564102,327.71596929244697
285ps,multilabel_powerset,h2o,3,0.05616605616605616,313.87436527758837
285ps,multilabel_powerset,h2o,4,0.158974358974359,351.4955318812281
285ps,multilabel_powerset,h2o,5,0.1752136752136752,319.8650440312922
285ps,multilabel_powerset,h2o,6,0.2860734037204626,315.7228547055274
285ps,multilabel_powerset,h2o,7,0.10327635327635327,323.7219479698688
285ps,multilabel_powerset,h2o,8,0.17342657342657342,313.7723082881421
285ps,multilabel_powerset,h2o,9,0.2895186684660369,346.70105811115354
285ps,multilabel_powerset,h2o,10,0.18632478632478633,318.562057278119
285ps,multilabel_powerset,h2o,11,0.1512163050624589,321.2542973700911
285ps,multilabel_powerset,h2o,12,0.09861932938856016,333.63083966914564
285ps,multilabel_powerset,h2o,13,0.1757020757020757,318.95055282395333
285ps,multilabel_powerset,h2o,14,0.22322775263951733,332.9237689767033
285ps,multilabel_powerset,h2o,15,0.18500986193293883,313.41559922043234
285ps,multilabel_powerset,h2o,16,0.20097680097680096,332.0222638640553
285ps,multilabel_powerset,h2o,17,0.20252340252340253,317.0770328026265
285ps,multilabel_powerset,h2o,18,0.22649572649572652,311.03782631549984
285ps,multilabel_powerset,h2o,19,0.0,315.581315244548
285ps,multilabel_powerset,h2o,20,0.10809451985922575,318.2547978190705
285ps,multilabel_powerset,lightwood,1,0.0,2.7195688520005206
285ps,multilabel_powerset,lightwood,2,0.0,1.3498830399985309
285ps,multilabel_powerset,lightwood,3,0.017094017094017092,1.8367190069984645
285ps,multilabel_powerset,lightwood,4,0.017094017094017092,1.9471798509985092
285ps,multilabel_powerset,lightwood,5,0.0,2.2890775900013978
285ps,multilabel_powerset,lightwood,6,0.02564102564102564,2.1985634090015083
285ps,multilabel_powerset,lightwood,7,0.017094017094017092,1.9377908149981522
285ps,multilabel_powerset,lightwood,8,0.0,1.7853040210029576
285ps,multilabel_powerset,lightwood,9,0.0,2.01310931500484
285ps,multilabel_powerset,lightwood,10,0.0,2.0548525549966143
285ps,multilabel_powerset,lightwood,11,0.0,2.0941235899954336
285ps,multilabel_powerset,lightwood,12,0.0,1.4991586280011688
285ps,multilabel_powerset,lightwood,13,0.0,1.54916109599435
285ps,multilabel_powerset,lightwood,14,0.0,1.9748699370029499
285ps,multilabel_powerset,lightwood,15,0.0,2.1475187909964006
