,Framework,Rank_F1,Rank_Time
0,4intelligence,1.5714285714285714,9.714285714285714
1,autosklearn,2.857142857142857,7.428571428571429
2,evalml,4.0,10.0
3,pycaret,4.0,11.285714285714286
4,autogluon,4.833333333333333,4.833333333333333
5,naive,5.142857142857143,5.0
6,flaml,5.428571428571429,7.285714285714286
7,lightautoml,7.25,5.0
8,tpot,7.333333333333333,11.833333333333334
9,autokeras,9.142857142857142,2.2857142857142856
10,mljar,9.285714285714286,3.857142857142857
11,h2o,9.571428571428571,9.285714285714286
12,gama,10.0,5.0
13,autopytorch,10.285714285714286,9.857142857142858
14,lightwood,12.428571428571429,1.0
