scenario,dataset,normal_pairs,normal,homoscedastic_pairs,homoscedastic,parametric,method,p-value,significant
binary,31,28/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.4e-52,True
binary,37,28/120,False,0/120,False,False,Kruskal-Wallis + Dunn,2.9e-52,True
binary,44,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,2.5e-53,True
binary,1462,15/120,False,0/120,False,False,Kruskal-Wallis + Dunn,2.9e-51,True
binary,1479,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.1999999999999998e-53,True
binary,1510,6/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.3e-50,True
binary,40945,28/66,False,0/66,False,False,Kruskal-Wallis + Dunn,2.0000000000000002e-38,True
multiclass,23,15/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.1e-49,True
multiclass,36,21/120,False,0/120,False,False,Kruskal-Wallis + Dunn,6.7e-47,True
multiclass,54,45/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.3999999999999997e-47,True
multiclass,181,6/120,False,0/120,False,False,Kruskal-Wallis + Dunn,5.199999999999999e-47,True
multiclass,1466,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,5.9e-51,True
multiclass,40691,3/120,False,0/120,False,False,Kruskal-Wallis + Dunn,1.3e-49,True
multiclass,40975,36/120,False,0/120,False,False,Kruskal-Wallis + Dunn,3.5e-47,True
multilabel_native,285,0/6,False,0/6,False,False,Kruskal-Wallis + Dunn,6.7e-12,True
multilabel_native,41464,1/3,False,0/3,False,False,Kruskal-Wallis + Dunn,8.7e-11,True
multilabel_native,41465,3/6,False,0/6,False,False,Kruskal-Wallis + Dunn,3.7e-15,True
multilabel_native,41468,3/6,False,0/6,False,False,Kruskal-Wallis + Dunn,1.4e-13,True
multilabel_native,41470,0/6,False,0/6,False,False,Kruskal-Wallis + Dunn,1.2e-15,True
multilabel_native,41471,1/6,False,0/6,False,False,Kruskal-Wallis + Dunn,1.3e-15,True
multilabel_native,41473,3/6,False,0/6,False,False,Kruskal-Wallis + Dunn,3.9e-14,True
multilabel_powerset,285ps,15/45,False,0/45,False,False,Kruskal-Wallis + Dunn,1.6e-30,True
multilabel_powerset,41464ps,10/66,False,0/66,False,False,Kruskal-Wallis + Dunn,1.8e-29,True
multilabel_powerset,41465ps,10/78,False,0/78,False,False,Kruskal-Wallis + Dunn,2.2e-39,True
multilabel_powerset,41468ps,21/105,False,0/105,False,False,Kruskal-Wallis + Dunn,3.2e-37,True
multilabel_powerset,41470ps,3/78,False,0/78,False,False,Kruskal-Wallis + Dunn,1.1e-37,True
multilabel_powerset,41471ps,6/78,False,0/78,False,False,Kruskal-Wallis + Dunn,3.0000000000000004e-38,True
multilabel_powerset,41473ps,3/66,False,0/66,False,False,Kruskal-Wallis + Dunn,9.2e-42,True
